iter	RMSE
145	5.050526786
146	5.046075268
147	5.043261377
148	5.039553785
149	5.035757967
150	5.0307801
151	5.026806668
152	5.023630598
153	5.019903816
154	5.017357985
155	5.014052064
156	5.007933042
157	5.002936421
158	5.000045404
159	4.997335049
160	4.992897594
161	4.986756722
162	4.981764003
163	4.978214702
164	4.977722101
165	4.973235517
166	4.96805516
167	4.962517269
168	4.959367402
169	4.954957701
170	4.950246333
171	4.948015123
172	4.944714146
173	4.941868781
174	4.94025344
175	4.935578209
176	4.932676075
177	4.930104376
178	4.927444373
179	4.923861815
180	4.919731875
181	4.916379693
182	4.9115193
183	4.906393042
184	4.902109851
185	4.895840744
186	4.89320906
187	4.890556699
188	4.888346046
189	4.884636615
190	4.880985428
191	4.875396815
192	4.871031139
193	4.866686527
194	4.864841351
195	4.862888
196	4.858187323
197	4.853486912
198	4.849991995
199	4.847818914
200	4.845441396
201	4.841292197
202	4.836332203
203	4.833281483
204	4.830026312
205	4.82786846
206	4.826401572
207	4.823473706
208	4.821812467
209	4.817498506
210	4.813746125
211	4.81193311
212	4.810371703
213	4.806834715
214	4.804435092
215	4.802451245
216	4.798855927
217	4.795899096
218	4.794633769
219	4.790641362
220	4.790293664
221	4.787277121
222	4.783099821
223	4.780797309
224	4.77881241
225	4.777299181
226	4.776046265
227	4.774000684
228	4.77192899
229	4.766629206
230	4.762713844
231	4.759948407
232	4.756623299
233	4.751855505
234	4.746647235
235	4.743320169
236	4.73965286
237	4.73638488
238	4.734569338
239	4.731273212
240	4.727308688
241	4.722871942
242	4.720905369
243	4.719247191
244	4.718309286
245	4.716558763
246	4.714224386
247	4.709169871
248	4.707249721
249	4.705316642
250	4.701341752
251	4.699468154
252	4.693579144
253	4.691593392
254	4.685970008
255	4.685279714
256	4.683614967
257	4.682544754
258	4.67839985
259	4.677319834
260	4.676187794
261	4.674724313
262	4.670430873
263	4.668289181
264	4.665207232
265	4.659970287
266	4.659333807
267	4.65469622
268	4.651275136
269	4.64714175
270	4.646074102
271	4.643632007
272	4.638897421
273	4.635894037
274	4.63254748
275	4.628982927
276	4.625696368
277	4.623747199
278	4.622373979
279	4.619241007
280	4.615342565
281	4.612134559
282	4.604995864
283	4.600187307
284	4.593383353
285	4.589989292
286	4.586712859
287	4.585965031
288	4.580631327
289	4.576388204
290	4.572271591
291	4.568950262
292	4.566281239
293	4.561092618
294	4.555145943
295	4.554221822
296	4.551801243
297	4.550995728
298	4.546243109
299	4.546018816
300	4.543233574
301	4.538502476
302	4.537174949
303	4.535311503
304	4.531265954
305	4.526873116
306	4.526095179
307	4.525192225
308	4.524916485
309	4.519291784
310	4.513075608
311	4.507531769
312	4.504133688
313	4.500908349
314	4.499183763
315	4.496366699
316	4.490434109
317	4.484825098
318	4.479307715
319	4.475657517
320	4.474891442
321	4.474003127
322	4.469904532
323	4.465524067
324	4.461219064
325	4.455106176
326	4.454443475
327	4.451959708
328	4.448930215
329	4.440939547
330	4.438167128
331	4.436108345
332	4.432068474
333	4.430075434
334	4.424933835
335	4.419797423
336	4.416781856
337	4.41519817
338	4.411372322
339	4.406989334
340	4.401733959
341	4.397711955
342	4.394382262
343	4.391866312
344	4.386690839
345	4.383494316
346	4.383140842
347	4.381356774
348	4.379279239
349	4.376168326
350	4.374345279
351	4.368393013
352	4.366610517
353	4.366164607
354	4.364957657
355	4.361978097
356	4.357138655
357	4.351799068
358	4.347539435
359	4.343415925
360	4.342555087
361	4.339689223
362	4.334559132
363	4.330011324
364	4.329724128
365	4.329085509
366	4.32741
367	4.323004038
368	4.31849545
369	4.316846807
370	4.313998642
371	4.310461765
372	4.305479342
373	4.304560922
374	4.299418601
375	4.297762888
376	4.294444605
377	4.292158251
378	4.289294886
379	4.285458531
380	4.282545296
381	4.281694081
382	4.278360306
383	4.274317019
384	4.269647703
385	4.263646741
386	4.260108713
387	4.258084257
388	4.25428646
389	4.25015591
390	4.246234896
391	4.243315854
392	4.239428313
393	4.239110595
394	4.237205968
395	4.237079668
396	4.232454524
397	4.23196049
398	4.229136408
399	4.226152694
400	4.221757717
401	4.219718061
402	4.217126403
403	4.214077368
404	4.210977864
405	4.208798884
406	4.207919498
407	4.205311678
408	4.203854988
409	4.202248928
410	4.198213613
411	4.197643246
412	4.19434198
413	4.19231148
414	4.189687643
415	4.187162804
416	4.187013053
417	4.183402474
418	4.180304119
419	4.17822449
420	4.174301363
421	4.170234706
422	4.168296225
423	4.164363741
424	4.163331228
425	4.160981214
426	4.159205169
427	4.155719331
428	4.153107313
429	4.149856221
430	4.148652945
431	4.145084352
432	4.141129047
433	4.138786738
434	4.136156313
435	4.13005149
436	4.125734018
437	4.123740524
438	4.119493136
439	4.117759817
440	4.110918511
441	4.110152657
442	4.10930365
443	4.105025683
444	4.103059324
445	4.099651502
446	4.099142239
447	4.094702874
448	4.090782895
449	4.090216786
450	4.085481359
451	4.083489115
452	4.081375357
453	4.07974693
454	4.07794381
455	4.075523329
456	4.073853582
457	4.070834499
458	4.068659057
459	4.063737212
460	4.063294347
461	4.061401958
462	4.059544783
463	4.055123632
464	4.05201388
465	4.049209231
466	4.047994061
467	4.046630149
468	4.045284078
469	4.041789461
470	4.039994355
471	4.038785469
472	4.034382787
473	4.032681176
474	4.031775274
475	4.031546887
476	4.02944211
477	4.025898836
478	4.023022834
479	4.020472067
480	4.019720821
481	4.016864442
482	4.012965994
483	4.010304267
484	4.006254293
485	4.001849047
486	3.999694913
487	3.997160325
488	3.993234062
489	3.991899299
490	3.990269941
491	3.986529897
492	3.985741429
493	3.982083744
494	3.980585283
495	3.979980377
496	3.979528371
497	3.977551488
498	3.975679627
499	3.972433844
500	3.969947258
501	3.967079816
502	3.966936613
503	3.965467368
504	3.961894802
505	3.95907326
506	3.956553162
507	3.952760756
508	3.94818682
509	3.946609119
510	3.941657781
511	3.938918514
512	3.937745691
513	3.937583342
514	3.932974356
515	3.930780444
516	3.928748756
517	3.926831613
518	3.926668733
519	3.926520906
520	3.923736912
521	3.921445077
522	3.920251843
523	3.917665993
524	3.916291292
525	3.914168729
526	3.910434294
527	3.909090964
528	3.90744538
529	3.904576579
530	3.904365604
531	3.902810803
532	3.900234402
533	3.898232226
534	3.896020653
535	3.89313309
536	3.890894498
537	3.88641129
538	3.88619222
539	3.885629409
540	3.885256227
541	3.880995156
542	3.876754374
543	3.875140925
544	3.874031986
545	3.872513153
546	3.86947503
547	3.867403334
548	3.867208574
549	3.865789639
550	3.86374603
551	3.861138187
552	3.857216313
553	3.855290893
554	3.853096436
555	3.849794926
556	3.84883849
557	3.847897153
558	3.846550548
559	3.843004239
560	3.840636935
561	3.840383504
562	3.83568934
563	3.831803552
564	3.831436157
565	3.829179547
566	3.825326611
567	3.821663636
568	3.817884161
569	3.815689479
570	3.813663001
571	3.813197598
572	3.811937571
573	3.810728782
574	3.806297789
575	3.800547244
576	3.798288208
577	3.79450134
578	3.791010184
579	3.788764785
580	3.786760011
581	3.783551786
582	3.780138962
583	3.778752924
584	3.778617761
585	3.775289062
586	3.774142982
587	3.77181748
588	3.768215897
589	3.765088366
590	3.76231151
591	3.760334736
592	3.758183353
593	3.755555296
594	3.755380093
595	3.75337245
596	3.749942407
597	3.749524007
598	3.746905041
599	3.742397685
600	3.739364189
601	3.736144027
602	3.736075483
603	3.735803912
604	3.733550503
605	3.73327991
606	3.731173725
607	3.730055326
608	3.724334641
609	3.720907863
610	3.71848699
611	3.716381894
612	3.712091881
613	3.707566928
614	3.704078526
615	3.703797026
616	3.703638122
617	3.701191862
618	3.700415746
619	3.695752827
620	3.693622935
621	3.692007783
622	3.690591048
623	3.689249193
624	3.68589153
625	3.68246315
626	3.681473048
627	3.68026449
628	3.677460793
629	3.675829201
630	3.675642551
631	3.672938111
632	3.670902357
633	3.669605352
634	3.666197795
635	3.663310955
636	3.661581114
637	3.659086922
638	3.657084941
639	3.654643583
640	3.649399598
641	3.646614012
642	3.645872028
643	3.645784559
644	3.643730397
645	3.640560203
646	3.640395308
647	3.63843678
648	3.637559762
649	3.634497306
650	3.630606529
651	3.627397279
652	3.62430512
653	3.618416387
654	3.615924569
655	3.614129955
656	3.611583963
657	3.610858661
658	3.609250056
659	3.606840329
660	3.606561589
661	3.605711057
662	3.603918003
663	3.599864059
664	3.599345956
665	3.597195819
666	3.594064565
667	3.593186727
668	3.591242509
669	3.590756763
670	3.589975749
671	3.587650266
672	3.585807231
673	3.58397918
674	3.581487488
675	3.579759075
676	3.579520899
677	3.579361138
678	3.578250397
679	3.577478275
680	3.577197176
681	3.575335771
682	3.573910978
683	3.571775595
684	3.569686752
685	3.566750769
686	3.566059823
687	3.564828721
688	3.562915294
689	3.560686439
690	3.558379864
691	3.556531219
692	3.553785632
693	3.550819134
694	3.547452071
695	3.544638552
696	3.542527617
697	3.54142292
698	3.539642568
699	3.537763872
700	3.537262852
701	3.53553839
702	3.533735966
703	3.529172941
704	3.529031764
705	3.526449478
706	3.524054813
707	3.521575511
708	3.51910673
709	3.516594852
710	3.516479502
711	3.516401
712	3.515521936
713	3.511646961
714	3.511091483
715	3.510282471
716	3.509907514
717	3.508511468
718	3.50385752
719	3.503751581
720	3.50366875
721	3.50203657
722	3.499761779
723	3.498087902
724	3.497151961
725	3.493737466
726	3.493644617
727	3.493247761
728	3.491364349
729	3.489793988
730	3.485183866
731	3.485051788
732	3.481732727
733	3.479856421
734	3.476274497
735	3.473937491
736	3.473129276
737	3.473011738
738	3.470136999
739	3.467635292
740	3.466102269
741	3.462547137
742	3.462379027
743	3.460238282
744	3.456575787
745	3.455567852
746	3.452094794
747	3.451700641
748	3.45069798
749	3.449208692
750	3.447846624
751	3.445786571
752	3.444676678
753	3.44014774
754	3.437816331
755	3.437747206
756	3.436839613
757	3.433688282
758	3.433525959
759	3.431844023
760	3.429487802
761	3.42879299
762	3.426925959
763	3.424551761
764	3.424420372
765	3.423024837
766	3.422949214
767	3.420041076
768	3.418208678
769	3.41513608
770	3.414753172
771	3.413293511
772	3.412146827
773	3.412075761
774	3.411833488
775	3.41150568
776	3.410715601
777	3.40895952
778	3.407332111
779	3.40450137
780	3.401923367
781	3.400905249
782	3.400152583
783	3.396902256
784	3.395810702
785	3.395491281
786	3.393712781
787	3.390711409
788	3.3879111
789	3.38782808
790	3.387484022
791	3.386389665
792	3.385792633
793	3.382505925
794	3.382164906
795	3.382069698
796	3.380246398
797	3.379835032
798	3.375675003
799	3.375064219
800	3.373341849
801	3.373248549
802	3.369682469
803	3.36852028
804	3.367419963
805	3.364387073
806	3.361330287
807	3.35905281
808	3.358721696
809	3.356258558
810	3.355136934
811	3.352629004
812	3.35100121
813	3.348287645
814	3.347422324
815	3.344759754
816	3.342739436
817	3.342159081
818	3.339891415
819	3.337551687
820	3.336740416
821	3.334783188
822	3.333649876
823	3.331344393
824	3.331014708
825	3.328452894
826	3.328165937
827	3.32715699
828	3.325567143
829	3.324712
830	3.323545817
831	3.322008872
832	3.32120383
833	3.319865712
834	3.318207113
835	3.317259826
836	3.314446657
837	3.313468026
838	3.312514342
839	3.310518595
840	3.310400902
841	3.307879977
842	3.306816924
843	3.305897272
844	3.305198153
845	3.304124518
846	3.30272281
847	3.30117099
848	3.2998162
849	3.298195402
850	3.29591584
851	3.295589828
852	3.295388056
853	3.292985155
854	3.290741865
855	3.289490568
856	3.287334188
857	3.285955715
858	3.284131162
859	3.281259315
860	3.278584111
861	3.274698121
862	3.272547786
863	3.271652798
864	3.270505784
865	3.269991052
866	3.268675381
867	3.26781067
868	3.266342868
869	3.26528914
870	3.264536747
871	3.26357273
872	3.26254498
873	3.26104335
874	3.260066215
875	3.258744823
876	3.256063974
877	3.255771929
878	3.253491371
879	3.251885481
880	3.249021222
881	3.246428666
882	3.243469814
883	3.241703876
884	3.239568532
885	3.238714111
886	3.236673229
887	3.233126061
888	3.231519944
889	3.227621219
890	3.224686714
891	3.223404347
892	3.223317498
893	3.219668431
894	3.218002076
895	3.214243475
896	3.213542372
897	3.21217759
898	3.211734228
899	3.208630321
900	3.206958972
901	3.206628512
902	3.204151848
903	3.201564553
904	3.199379138
905	3.197367548
906	3.197295238
907	3.195611948
908	3.194546459
909	3.192503331
910	3.192453929
911	3.19038066
912	3.190279218
913	3.186468554
914	3.18566193
915	3.184164249
916	3.183596578
917	3.181963223
918	3.181048876
919	3.17955916
920	3.178178289
921	3.176925036
922	3.174954585
923	3.173085831
924	3.171179729
925	3.170900226
926	3.167777474
927	3.165684319
928	3.165612033
929	3.164574002
930	3.164269625
931	3.162930554
932	3.162090149
933	3.160208801
934	3.156412975
935	3.155039302
936	3.153366734
937	3.152653626
938	3.152595366
939	3.149828299
940	3.147842228
941	3.147509551
942	3.146949334
943	3.145504854
944	3.141990593
945	3.141560461
946	3.140020347
947	3.139019763
948	3.13759992
949	3.137253093
950	3.137190107
951	3.134936103
952	3.134448202
953	3.13346292
954	3.129972973
955	3.128760957
956	3.127067335
957	3.125970999
958	3.124931141
959	3.123252733
960	3.120151907
961	3.11920345
962	3.115972093
963	3.113296826
964	3.111331331
965	3.109483134
966	3.108715832
967	3.107109354
968	3.105635947
969	3.104754756
970	3.104181255
971	3.101084752
972	3.099713372
973	3.097567747
974	3.095495482
975	3.092884144
976	3.092387113
977	3.092316478
978	3.090421696
979	3.089882781
980	3.088180157
981	3.087325575
982	3.086765115
983	3.086472773
984	3.086346906
985	3.08484281
986	3.084301997
987	3.082524315
988	3.081193682
989	3.081146332
990	3.079603626
991	3.079139047
992	3.077610437
993	3.076101773
994	3.075050269
995	3.073138757
996	3.072998891
997	3.072604387
998	3.070491228
999	3.069575486
